collection_week,state,hospital_name,city,zip,fips_code,hosp_00-17_7_day_sum,hosp_18-19_7_day_sum,hosp_20-29_7_day_sum,hosp_30-39_7_day_sum,hosp_40-49_7_day_sum,hosp_50-59_7_day_sum,hosp_60-69_7_day_sum,hosp_70-79_7_day_sum,hosp_80+_7_day_sum,hosp_all_ages_7_day_sum
2021-03-19,MA,FALMOUTH HOSPITAL,FALMOUTH,02540,25001,0.0,0.0,0.0,0.0,0.0,0.0,0.5266666666666666,0.0,0.0,0.5266666666666666
2021-03-19,MA,CAPE COD HOSPITAL,HYANNIS,02601,25001,0.0,0.4666666666666667,0.5166666666666667,0.44333333333333336,0.5433333333333333,0.49333333333333335,7.0,4.0,5.0,18.463333333333335
2021-03-19,MA,BERKSHIRE MEDICAL CENTER INC - 1,PITTSFIELD,01201,25003,0.48,0.0,0.47333333333333333,9.513333333333334,4.466666666666667,19.513333333333332,17.503333333333334,27.52,23.0,102.47
2021-03-19,MA,FAIRVIEW HOSPITAL,GREAT BARRINGTON,01230,25003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,MA,STURDY MEMORIAL HOSPITAL,ATTLEBORO,02703,25005,0.0,0.0,0.5133333333333333,0.54,0.52,9.52,13.513333333333334,8.0,9.543333333333333,42.150000000000006
2021-03-19,MA,MORTON HOSPITAL,TAUNTON,02780,25005,0.0,0.0,0.53,0.0,0.4666666666666667,0.5366666666666666,4.0,0.51,0.47,6.513333333333334
2021-03-19,MA,"SOUTHCOAST HOSPITAL GROUP, INC",FALL RIVER,02720,25005,0.5033333333333333,0.47333333333333333,0.9866666666666667,1.0033333333333334,10.533333333333333,21.0,29.0,31.0,35.0,129.5
2021-03-19,MA,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,NEW BEDFORD,02745,25005,0.0,0.0,0.0,0.0,0.0,0.51,1.06,0.9866666666666667,0.0,2.5566666666666666
2021-03-19,MA,SAINT ANNE'S HOSPITAL,FALL RIVER,02721,25005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47
2021-03-19,MA,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,02557,25007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,MA,HOLY FAMILY HOSPITAL,METHUEN,01844,25009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,MA,BEVERLY HOSPITAL CORPORATION,BEVERLY,01915,25009,0.0,0.44666666666666666,0.98,1.0566666666666666,0.56,5.5,4.0,1.0566666666666666,1.0233333333333334,14.623333333333335
2021-03-19,MA,NORTH SHORE MEDICAL CENTER -,SALEM,01970,25009,0.0,0.0,0.5166666666666667,0.49333333333333335,0.49666666666666665,0.5033333333333333,0.45666666666666667,4.0,0.46,6.926666666666667
