school,county,school_new,county_new
BUS DRIVER,UNKNOWN,,
BUSHNELL ELEMENTARY SCHOOL,SUMTER,BUSHNELL ELEMENTARY SCHOOL,SUMTER
C. A. WEIS ELEMENTARY SCHOOL,ESCAMBIA,C. A. WEIS ELEMENTARY SCHOOL,ESCAMBIA
C. G. BETHEL HIGH SCHOOL,MIAMI-DADE,C. G. BETHEL HIGH SCHOOL,MIAMI-DADE
C. H. PRICE,PUTNAM,C. H. PRICE MIDDLE SCHOOL,PUTNAM
C. H. PRICE MIDDLE SCHOOL,PUTNAM,C. H. PRICE MIDDLE SCHOOL,PUTNAM
C. L. OVERTURF JR 6TH GRADE CENTER,PUTNAM,C. L. OVERTURF JR 6TH GRADE CENTER,PUTNAM
C. W. NORTON ELEMENTARY SCHOOL,ALACHUA,C. W. NORTON ELEMENTARY SCHOOL,ALACHUA
C. W. RUCKEL MIDDLE SCHOOL,OKALOOSA,C. W. RUCKEL MIDDLE SCHOOL,OKALOOSA
CALLAHAN ELEMENTARY SCHOOL,NASSAU,CALLAHAN ELEMENTARY SCHOOL,NASSAU
CALLAHAN INTERMEDIATE SCHOOL,NASSAU,CALLAHAN INTERMEDIATE SCHOOL,NASSAU
CALLAHAN MIDDLE SCHOOL,NASSAU,CALLAHAN MIDDLE SCHOOL,NASSAU
CALLAWAY ELEMENTARY SCHOOL,BAY,CALLAWAY ELEMENTARY SCHOOL,BAY
CALOOSA ELEMENTARY SCHOOL,LEE,CALOOSA ELEMENTARY SCHOOL,LEE
CALOOSA MIDDLE SCHOOL,LEE,CALOOSA MIDDLE SCHOOL,LEE
CALUSA ELEMENTARY SCHOOL,MIAMI-DADE,CALUSA ELEMENTARY SCHOOL,MIAMI-DADE
CALUSA ELEMENTARY SCHOOL,PALM BEACH,CALUSA ELEMENTARY SCHOOL,PALM BEACH
CALUSA ELEMENTARY SCHOOL,PASCO,CALUSA ELEMENTARY SCHOOL,PASCO
CALUSA PARK ELEMENTARY SCHOOL,COLLIER,CALUSA PARK ELEMENTARY SCHOOL,COLLIER
CALUSA PREPARATORY SCHOOL,MIAMI-DADE,CALUSA PREPARATORY SCHOOL,MIAMI-DADE
CALVARY CHAPEL ACADEMY,BREVARD,CALVARY CHAPEL ACADEMY,BREVARD
CALVARY CHRISTIAN ACADEMY,BROWARD,CALVARY CHRISTIAN ACADEMY,BROWARD
CALVARY CHRISTIAN ACADEMY,CLAY,CALVARY CHRISTIAN ACADEMY,CLAY
CALVARY CHRISTIAN ACADEMY,OKALOOSA,CALVARY CHRISTIAN ACADEMY,OKALOOSA
CALVARY CHRISTIAN ACADEMY,ST. LUCIE,CALVARY CHRISTIAN ACADEMY,ST. LUCIE
CALVARY CHRISTIAN ACADEMY,VOLUSIA,CALVARY CHRISTIAN ACADEMY,VOLUSIA
CALVARY CHRISTIAN ACADEMY,UNKNOWN,,
CALVARY CHRISTIAN ACADEMY HOLLYWOOD,BROWARD,CALVARY CHRISTIAN ACADEMY HOLLYWOOD,BROWARD
CALVARY CHRISTIAN HIGH SCHOOL,PINELLAS,CALVARY CHRISTIAN HIGH SCHOOL,PINELLAS
CALVARY CITY CHRISTIAN ACADEMY PRESCHOOL,ORANGE,CALVARY CITY CHRISTIAN ACADEMY PRESCHOOL,ORANGE
CALVIN A. HUNSINGER SCHOOL,PINELLAS,CALVIN A. HUNSINGER SCHOOL,PINELLAS
CAMBRIDGE CHRISTIAN SCHOOL,HILLSBOROUGH,CAMBRIDGE CHRISTIAN SCHOOL,HILLSBOROUGH
CAMBRIDGE ELEMENTARY MAGNET SCHOOL,BREVARD,CAMBRIDGE ELEMENTARY SCHOOL MAGNET SCHOOL,BREVARD
CAMBRIDGE INTERNATIONAL ACADEMY,BROWARD,CAMBRIDGE INTERNATIONAL ACADEMY,BROWARD
CAMBRIDGE PREP ACADEMY,COLUMBIA,CAMBRIDGE PREP ACADEMY INC.,COLUMBIA
CAMBRIDGE PREP ACADEMY INC.,COLUMBIA,CAMBRIDGE PREP ACADEMY INC.,COLUMBIA
CAMBRIDGE SCHOOLS IN WELLINGTON,PALM BEACH,CAMBRIDGE SCHOOLS IN WELLINGTON,PALM BEACH
CAMELOT ACADEMY OF ESCAMBIA COUNTY,ESCAMBIA,CAMELOT ACADEMY OF ESCAMBIA COUNTY,ESCAMBIA
CAMELOT ACADEMY OF SANTA ROSA,SANTA ROSA,CAMELOT ACADEMY OF SANTA ROSA,SANTA ROSA
CAMELOT ELEMENTARY,ORANGE,CAMELOT ELEMENTARY SCHOOL,ORANGE
CAMELOT SCHOOL,PINELLAS,CAMELOT SCHOOL,PINELLAS
CAMEN ACADEMY FOR THE PERFORMING ARTS,ORANGE,CAMEN ACADEMY FOR THE PERFORMING ARTS,ORANGE
CAMINITI EXCEPTIONAL CENTER,HILLSBOROUGH,CAMINITI EXCEPTIONAL CENTER,HILLSBOROUGH
CAMINITI PUBLIC SCHOOL,HILLSBOROUGH,CAMINITI PUBLIC SCHOOL,HILLSBOROUGH
CAMPBELL DRIVE K-8 CENTER,MIAMI-DADE,CAMPBELL DRIVE K-8 CENTER,MIAMI-DADE
CAMPBELL MIDDLE SCHOOL,VOLUSIA,CAMPBELL MIDDLE SCHOOL,VOLUSIA
CAMPBELL PARK ELEMENTARY SCHOOL,PINELLAS,CAMPBELL PARK ELEMENTARY SCHOOL,PINELLAS
CAMPBELL UNIVERSITY,UNKNOWN,,
CANAL POINT ELEMENTARY,UNKNOWN,K. E. CUNNINGHAM/CANAL POINT ELEMENTARY SCHOOL,PALM BEACH
CANDLELIGHT CHRISTIAN ACADEMY,POLK,CANDLELIGHT CHRISTIAN ACADEMY,POLK
CANNELLA ELEMENTARY SCHOOL,HILLSBOROUGH,CANNELLA ELEMENTARY SCHOOL,HILLSBOROUGH
CANOE CREEK K-8,OSCEOLA,CANOE CREEK K-8,OSCEOLA
CANOPY OAKS ELEMENTARY SCHOOL,LEON,CANOPY OAKS ELEMENTARY SCHOOL,LEON
CANTERBURY SCHOOL,LEE,CANTERBURY SCHOOL,LEE
CANTERBURY SCHOOL OF FLORIDA INC.,PINELLAS,CANTERBURY SCHOOL OF FLORIDA INC.,PINELLAS
CAPE ACADEMY,LEE,CAPE ACADEMY,LEE
CAPE CORAL CHARTER SCHOOL,LEE,CAPE CORAL CHARTER SCHOOL,LEE
CAPE CORAL CHRISTIAN SCHOOL INC.,LEE,CAPE CORAL CHRISTIAN SCHOOL INC.,LEE
CAPE CORAL HIGH SCHOOL,LEE,CAPE CORAL HIGH SCHOOL,LEE
CAPE CORAL TECHNICAL COLLEGE,LEE,CAPE CORAL TECHNICAL COLLEGE,LEE
CAPE CORAL TECHNICAL COLLEGE,UNKNOWN,CAPE CORAL TECHNICAL COLLEGE,LEE
CAPE ELEMENTARY SCHOOL,LEE,CAPE ELEMENTARY SCHOOL,LEE
CAPE VIEW ELEMENTARY SCHOOL,BREVARD,CAPE VIEW ELEMENTARY SCHOOL,BREVARD
CAPITAL PREPARATORY,LEON,CAPITAL PREPARATORY,LEON
CAPSTONE ACADEMY MILTON CHARTER SCHOOL,SANTA ROSA,CAPSTONE ACADEMY MILTON CHARTER SCHOOL,SANTA ROSA
CARDINAL GIBBONS HIGH SCHOOL,BROWARD,CARDINAL GIBBONS HIGH SCHOOL,BROWARD
CARDINAL MOONEY HIGH SCHOOL,SARASOTA,CARDINAL MOONEY HIGH SCHOOL,SARASOTA
CARDINAL NEWMAN HIGH SCHOOL,PALM BEACH,CARDINAL NEWMAN HIGH SCHOOL,PALM BEACH
CARDINAL NEWMAN HIGH SCHOOL,UNKNOWN,CARDINAL NEWMAN HIGH SCHOOL,PALM BEACH
CARE AND SHARE UXBRIDGE CHRISTIAN ACADEMY,BROWARD,CARE AND SHARE UXBRIDGE CHRISTIAN ACADEMY,BROWARD
CARE ELEMENTARY SCHOOL,MIAMI-DADE,CARE ELEMENTARY SCHOOL,MIAMI-DADE
CARIBBEAN K-8 CENTER,MIAMI-DADE,CARIBBEAN K-8 CENTER,MIAMI-DADE
CARILLON ELEMENTARY SCHOOL,SEMINOLE,CARILLON ELEMENTARY SCHOOL,SEMINOLE
CARING & SHARING LEARNING SCHOOL,ALACHUA,CARING & SHARING LEARNING SCHOOL,ALACHUA
CARLOS E. HAILE MIDDLE SCHOOL,MANATEE,CARLOS E. HAILE MIDDLE SCHOOL,MANATEE
CARLTON PALMORE ELEMENTARY SCHOOL,POLK,CARLTON PALMORE ELEMENTARY SCHOOL,POLK
CAROL CITY ELEMENTARY SCHOOL,MIAMI-DADE,CAROL CITY ELEMENTARY SCHOOL,MIAMI-DADE
CAROL CITY MIDDLE SCHOOL,MIAMI-DADE,CAROL CITY MIDDLE SCHOOL,MIAMI-DADE
CAROLYN BEATRICE PARKER ELEMENTARY,ALACHUA,CAROLYN BEATRICE PARKER ELEMENTARY SCHOOL,ALACHUA
CARPE DIEM ACADEMIA INC.,MIAMI-DADE,CARPE DIEM ACADEMIA INC.,MIAMI-DADE
CARPE DIEM ACADEMIA LITTLE HAVANA,MIAMI-DADE,CARPE DIEM ACADEMIA LITTLE HAVANA,MIAMI-DADE
CARR ELEMENTARY & MIDDLE SCHOOL,CALHOUN,CARR ELEMENTARY SCHOOL & MIDDLE SCHOOL,CALHOUN
CARRIE BRAZER CENTER FOR AUTISM,UNKNOWN,CARRIE BRAZER CENTER FOR AUTISM,UNKNOWN
CARRIE P. MEEK/WESTVIEW K-8 CENTER,MIAMI-DADE,CARRIE P. MEEK/WESTVIEW K-8 CENTER,MIAMI-DADE
CARROLLTON SCHOOL OF THE SACRED HEART,MIAMI-DADE,CARROLLTON SCHOOL OF THE SACRED HEART,MIAMI-DADE
CARROLLWOOD DAY SCHOOL,HILLSBOROUGH,CARROLLWOOD DAY SCHOOL,HILLSBOROUGH
CARROLLWOOD ELEMENTARY SCHOOL,HILLSBOROUGH,CARROLLWOOD ELEMENTARY SCHOOL,HILLSBOROUGH
CARTER G. WOODSON ELEMENTARY SCHOOL,DUVAL,CARTER G. WOODSON ELEMENTARY SCHOOL,DUVAL
CARTER PARRAMORE ACADEMY,GADSDEN,CARTER PARRAMORE ACADEMY,GADSDEN
CARVER EXCEPTIONAL CENTER,HILLSBOROUGH,CARVER EXCEPTIONAL CENTER,HILLSBOROUGH
CARVER MIDDLE,ORANGE,CARVER MIDDLE,ORANGE
CARVER MIDDLE SCHOOL,LAKE,CARVER MIDDLE SCHOOL,LAKE
CARVER MIDDLE SCHOOL,PALM BEACH,CARVER MIDDLE SCHOOL,PALM BEACH
CARWISE MIDDLE SCHOOL,PINELLAS,CARWISE MIDDLE SCHOOL,PINELLAS
CASA DEI BAMBINI MONTESSORI SCHOOL,MIAMI-DADE,CASA DEI BAMBINI MONTESSORI SCHOOL,MIAMI-DADE
CASA MONTESSORI,VOLUSIA,CASA MONTESSORI,VOLUSIA
CASSELBERRY ELEMENTARY SCHOOL,SEMINOLE,CASSELBERRY ELEMENTARY SCHOOL,SEMINOLE
CASTLE CREEK ELEMENTARY,ORANGE,CASTLE CREEK ELEMENTARY SCHOOL,ORANGE
CASTLE HILL ELEMENTARY SCHOOL,BROWARD,CASTLE HILL ELEMENTARY SCHOOL,BROWARD
CASTLEVIEW ELEMENTARY,ORANGE,CASTLEVIEW ELEMENTARY SCHOOL,ORANGE
CATALINA ELEMENTARY,ORANGE,CATALINA ELEMENTARY SCHOOL,ORANGE
CATHEDRAL PARISH SCHOOL,ST. JOHNS,CATHEDRAL PARISH SCHOOL,ST. JOHNS
CATHOLIC HIGH SCHOOL,ESCAMBIA,CATHOLIC HIGH SCHOOL,ESCAMBIA
CATTOIRA MONTESSORI SCHOOL,MIAMI-DADE,CATTOIRA MONTESSORI SCHOOL,MIAMI-DADE
CBT COLLEGE HIALEAH,MIAMI-DADE,CBT COLLEGE HIALEAH,MIAMI-DADE
CBT COLLEGE – FLAGLER MAIN,MIAMI-DADE,CBT COLLEGE – FLAGLER MAIN,MIAMI-DADE
CECILE ESSRIG ELEMENTARY SCHOOL,HILLSBOROUGH,CECILE ESSRIG ELEMENTARY SCHOOL,HILLSBOROUGH
CEDAR CREEK CHRISTIAN SCHOOL,DUVAL,CEDAR CREEK CHRISTIAN SCHOOL,DUVAL
CEDAR GROVE ELEMENTARY SCHOOL,BAY,CEDAR GROVE ELEMENTARY SCHOOL,BAY
CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,DUVAL,CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,DUVAL
CEDAR HILLS ELEMENTARY SCHOOL,DUVAL,CEDAR HILLS ELEMENTARY SCHOOL,DUVAL
CEDAR KEY HIGH SCHOOL,LEVY,CEDAR KEY HIGH SCHOOL,LEVY
CELEBRATION HIGH SCHOOL,OSCEOLA,CELEBRATION HIGH SCHOOL,OSCEOLA
CELEBRATION SCHOOL,OSCEOLA,CELEBRATION SCHOOL,OSCEOLA
CELEBRITY SCHOOL OF BEAUTY,MIAMI-DADE,CELEBRITY SCHOOL OF BEAUTY,MIAMI-DADE
CENTENNIAL ELEMENTARY SCHOOL,PASCO,CENTENNIAL ELEMENTARY SCHOOL,PASCO
CENTENNIAL MIDDLE SCHOOL,PASCO,CENTENNIAL MIDDLE SCHOOL,PASCO
CENTER ACADEMY,UNKNOWN,,
CENTER ACADEMY - JACKSONVILLE,DUVAL,CENTER ACADEMY - JACKSONVILLE,DUVAL
CENTER ACADEMY - ST. JOHNS BLUFF,DUVAL,CENTER ACADEMY - ST. JOHNS BLUFF,DUVAL
CENTER ACADEMY - WATERFORD LAKES,ORANGE,CENTER ACADEMY - WATERFORD LAKES,ORANGE
CENTER ACADEMY-CORAL SPRINGS,BROWARD,CENTER ACADEMY - CORAL SPRINGS,BROWARD
CENTER ACADEMY-LUTZ,PASCO,CENTER ACADEMY - LUTZ,PASCO
CENTER ACADEMY-PALM HARBOR,PINELLAS,CENTER ACADEMY - PALM HARBOR,PINELLAS
CENTER ACADEMY-PINELLAS PARK,PINELLAS,CENTER ACADEMY - PINELLAS PARK,PINELLAS
CENTER ACADEMY-RIVERVIEW,HILLSBOROUGH,CENTER ACADEMY - RIVERVIEW,HILLSBOROUGH
CENTER MONTESSORI SCHOOL,MANATEE,CENTER MONTESSORI SCHOOL,MANATEE
CENTNER ACADEMY - ELEMENTARY SCHOOL,MIAMI-DADE,CENTNER ACADEMY - ELEMENTARY SCHOOL,MIAMI-DADE
CENTNER ACADEMY - MIDDLE AND HIGH SCHOOLS,MIAMI-DADE,CENTNER ACADEMY - MIDDLE AND HIGH SCHOOLS,MIAMI-DADE
CENTNER ACADEMY - PRESCHOOL,MIAMI-DADE,CENTNER ACADEMY - PRESCHOOL,MIAMI-DADE
CENTRAL ACADEMY,BAY,CENTRAL ACADEMY,BAY
CENTRAL AVENUE ELEMENTARY SCHOOL,OSCEOLA,CENTRAL AVENUE ELEMENTARY SCHOOL,OSCEOLA
CENTRAL BAPTIST CHRISTIAN SCHOOL,HILLSBOROUGH,CENTRAL BAPTIST CHRISTIAN SCHOOL,HILLSBOROUGH
CENTRAL BAPTIST CHRISTIAN SCHOOL,UNKNOWN,CENTRAL BAPTIST CHRISTIAN SCHOOL,HILLSBOROUGH
CENTRAL CHARTER SCHOOL,BROWARD,CENTRAL CHARTER SCHOOL,BROWARD
CENTRAL CHRISTIAN ACADEMY,ORANGE,CENTRAL CHRISTIAN ACADEMY,ORANGE
CENTRAL ELEMENTARY SCHOOL,HENDRY,CENTRAL ELEMENTARY SCHOOL,HENDRY
CENTRAL ELEMENTARY SCHOOL,OKEECHOBEE,CENTRAL ELEMENTARY SCHOOL,OKEECHOBEE
CENTRAL FLORIDA ACADEMY OF THE ARTS,SEMINOLE,CENTRAL FLORIDA ACADEMY OF THE ARTS,SEMINOLE
CENTRAL FLORIDA AEROSPACE ACADEMY,POLK,CENTRAL FLORIDA AEROSPACE ACADEMY,POLK
CENTRAL FLORIDA CHRISTIAN ACADEMY,ORANGE,CENTRAL FLORIDA CHRISTIAN ACADEMY,ORANGE
CENTRAL FLORIDA POLYTECHNIC ACADEMY,ORANGE,CENTRAL FLORIDA POLYTECHNIC ACADEMY,ORANGE
CENTRAL FLORIDA PREPARATORY ACADEMY,VOLUSIA,CENTRAL FLORIDA PREPARATORY ACADEMY,VOLUSIA
CENTRAL FLORIDA PREPARATORY SCHOOL,ORANGE,CENTRAL FLORIDA PREPARATORY SCHOOL,ORANGE
CENTRAL HIGH SCHOOL,BAY,CENTRAL HIGH SCHOOL,BAY
CENTRAL HIGH SCHOOL,HERNANDO,CENTRAL HIGH SCHOOL,HERNANDO
CENTRAL MIDDLE SCHOOL,BREVARD,CENTRAL MIDDLE SCHOOL,BREVARD
CENTRAL PARK ELEMENTARY SCHOOL,BROWARD,CENTRAL PARK ELEMENTARY SCHOOL,BROWARD
CENTRAL POINTE CHRISTIAN ACADEMY,OSCEOLA,CENTRAL POINTE CHRISTIAN ACADEMY,OSCEOLA
CENTRAL POINTE CHRISTIAN ACADEMY POINCIANA,OSCEOLA,CENTRAL POINTE CHRISTIAN ACADEMY,OSCEOLA
CENTRAL POINTE CHRISTIAN HIGH SCHOOL,OSCEOLA,CENTRAL POINTE CHRISTIAN ACADEMY,OSCEOLA
CENTRAL RIDGE ELEMENTARY SCHOOL,CITRUS,CENTRAL RIDGE ELEMENTARY SCHOOL,CITRUS
CENTRAL RIVERSIDE ELEMENTARY SCHOOL,DUVAL,CENTRAL RIVERSIDE ELEMENTARY SCHOOL,DUVAL
CENTRAL SCHOOL,SANTA ROSA,CENTRAL SCHOOL,SANTA ROSA
CENTRO CAMPESINO FARMWORKER CENTER,MIAMI-DADE,CENTRO CAMPESINO FARMWORKER CENTER,MIAMI-DADE
CENTRO MATER WEST II,MIAMI-DADE,CENTRO MATER WEST II,MIAMI-DADE
CHAFFEE TRAIL ELEMENTARY,DUVAL,CHAFFEE TRAIL ELEMENTARY SCHOOL,DUVAL
CHAIN OF LAKES COLLEGIATE HIGH,POLK,CHAIN OF LAKES COLLEGIATE HIGH,POLK
CHAIN OF LAKES ELEMENTARY SCHOOL,POLK,CHAIN OF LAKES ELEMENTARY SCHOOL,POLK
CHAIN OF LAKES MIDDLE,ORANGE,CHAIN OF LAKES MIDDLE SCHOOL,ORANGE
CHAIRES ELEMENTARY SCHOOL,LEON,CHAIRES ELEMENTARY SCHOOL,LEON
CHALLENGER 7 ELEMENTARY SCHOOL,BREVARD,CHALLENGER 7 ELEMENTARY SCHOOL,BREVARD
CHALLENGER ELEMENTARY SCHOOL,BROWARD,CHALLENGER ELEMENTARY SCHOOL,BROWARD
CHALLENGER K-8 SCHOOL OF SCIENCE AND MATH,HERNANDO,CHALLENGER K-8 SCHOOL OF SCIENCE AND MATH,HERNANDO
CHALLENGER MIDDLE SCHOOL,LEE,CHALLENGER MIDDLE SCHOOL,LEE
CHAMBERLAIN HIGH SCHOOL,HILLSBOROUGH,CHAMBERLAIN HIGH SCHOOL,HILLSBOROUGH
CHAMBERLAIN UNIVERISY-MIRAMAR,BROWARD,CHAMBERLAIN UNIVERSITY,BROWARD
CHAMBERLAIN UNIVERSITY,BROWARD,CHAMBERLAIN UNIVERSITY,BROWARD
CHAMBERLAIN UNIVERSITY,UNKNOWN,CHAMBERLAIN UNIVERSITY,BROWARD
CHAMBERS HIGH SCHOOL,MIAMI-DADE,CHAMBERS HIGH SCHOOL,MIAMI-DADE
CHAMINADE-MADONNA COLLEGE PREPARATORY,BROWARD,CHAMINADE-MADONNA COLLEGE PREPARATORY,BROWARD
CHAMPAGNAT CATHOLIC SCHOOL OF HIALEAH,MIAMI-DADE,CHAMPAGNAT CATHOLIC SCHOOL OF HIALEAH,MIAMI-DADE
CHAMPION ELEMENTARY SCHOOL,VOLUSIA,CHAMPION ELEMENTARY SCHOOL,VOLUSIA
CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWA,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWAR,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD,BROWARD
CHANCERY HIGH CHARTER,ORANGE,CHANCERY HIGH CHARTER,ORANGE
CHANGING LIVES ACADEMY INC.,ORANGE,CHANGING LIVES ACADEMY INC.,ORANGE
CHANGING LIVES CHRISTIAN ACADEMY,DUVAL,CHANGING LIVES CHRISTIAN ACADEMY,DUVAL
CHANNELSIDE ACADEMY OF MATH AND SCIENCE,HILLSBOROUGH,CHANNELSIDE ACADEMY OF MATH AND SCIENCE,HILLSBOROUGH
CHANTY LEARNING CENTER DBA WE LOVE KIDS,MIAMI-DADE,CHANTY LEARNING CENTER DBA WE LOVE KIDS,MIAMI-DADE
CHAPEL TRAIL ELEMENTARY SCHOOL,BROWARD,CHAPEL TRAIL ELEMENTARY SCHOOL,BROWARD
CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,MIAMI-DADE,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,MIAMI-DADE
CHAPPELL SCHOOLS DEERWOOD,DUVAL,CHAPPELL SCHOOLS DEERWOOD,DUVAL
CHARITY LEARNING ACADEMY INC.,ORANGE,CHARITY LEARNING ACADEMY INC.,ORANGE
CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,MIAMI-DADE,CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,MIAMI-DADE
"CHARLES DAVID WYCHE, JR ELEMENTARY SCHOOL",MIAMI-DADE,CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,MIAMI-DADE
CHARLES DREW ELEMENTARY SCHOOL,BROWARD,CHARLES DREW ELEMENTARY SCHOOL,BROWARD
CHARLES DREW MIDDLE SCHOOL,UNKNOWN,CHARLES DREW MIDDLE SCHOOL,BROWARD
CHARLES E. BENNETT ELEMENTARY SCHOOL,CLAY,CHARLES E. BENNETT ELEMENTARY SCHOOL,CLAY
CHARLES R DREW K-8 CENTER,MIAMI-DADE,CHARLES R DREW K-8 CENTER,MIAMI-DADE
CHARLES R HADLEY ELEMENTARY SCHOOL,MIAMI-DADE,CHARLES R HADLEY ELEMENTARY SCHOOL,MIAMI-DADE
CHARLES S. RUSHE MIDDLE SCHOOL,PASCO,CHARLES S. RUSHE MIDDLE SCHOOL,PASCO
CHARLES W FLANAGAN HIGH SCHOOL,BROWARD,CHARLES W FLANAGAN HIGH SCHOOL,BROWARD
CHARLOTTE DISTRICT OFFICE,CHARLOTTE,CHARLOTTE DISTRICT OFFICE,CHARLOTTE
CHARLOTTE HARBOR SCHOOL,CHARLOTTE,CHARLOTTE HARBOR SCHOOL,CHARLOTTE
CHARLOTTE HIGH SCHOOL,CHARLOTTE,CHARLOTTE HIGH SCHOOL,CHARLOTTE
CHARLOTTE PREPARATORY SCHOOL,CHARLOTTE,CHARLOTTE PREPARATORY SCHOOL,CHARLOTTE
CHARLOTTE TECHNICAL COLLEGE,CHARLOTTE,CHARLOTTE TECHNICAL COLLEGE,CHARLOTTE
CHARTER HIGH SCHOOL OF THE AMERICAS,MIAMI-DADE,CHARTER HIGH SCHOOL OF THE AMERICAS,MIAMI-DADE
CHARTER SCHOOL OF EXCELLENCE,BROWARD,CHARTER SCHOOL OF EXCELLENCE,BROWARD
CHARTER SCHOOL OF EXCELLENCE AT DAVIE,BROWARD,CHARTER SCHOOL OF EXCELLENCE,BROWARD
CHASCO ELEMENTARY SCHOOL,PASCO,CHASCO ELEMENTARY SCHOOL,PASCO
CHASCO MIDDLE SCHOOL,PASCO,CHASCO MIDDLE SCHOOL,PASCO
CHATMAN'S CHRISTIAN ACADEMY,DUVAL,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,DUVAL
"CHATMAN'S DAYCARE, INC",UNKNOWN,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,DUVAL
CHATMAN'S EARLY LEARNING CHRISTIAN ACAD,DUVAL,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,DUVAL
CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,DUVAL,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,DUVAL
CHATTAHOOCHEE ELEMENTARY SCHOOL,GADSDEN,CHATTAHOOCHEE ELEMENTARY SCHOOL,GADSDEN
CHENEY ELEMENTARY,ORANGE,CHENEY ELEMENTARY SCHOOL,ORANGE
CHEROKEE,ORANGE,CHEROKEE,ORANGE
CHESTER A. MOORE ELEMENTARY SCHOOL,ST. LUCIE,CHESTER A. MOORE ELEMENTARY SCHOOL,ST. LUCIE
CHESTER SHELL ELEMENTARY SCHOOL,ALACHUA,CHESTER SHELL ELEMENTARY SCHOOL,ALACHUA
CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL,PASCO,CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL,PASCO
"CHESTER W. TAYLOR, JR. ELEMENTARY SCHOOL",PASCO,CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL,PASCO
CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINE,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA
CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEEERING,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA
CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA
CHET'S CREEK ELEMENTARY SCHOOL,DUVAL,CHET'S CREEK ELEMENTARY SCHOOL,DUVAL
CHI CHI RODRIQUEZ ACADEMY,PINELLAS,CHI CHI RODRIQUEZ ACADEMY,PINELLAS
CHIARAMONTE ELEMENTARY SCHOOL,HILLSBOROUGH,CHIARAMONTE ELEMENTARY SCHOOL,HILLSBOROUGH
CHICKASAW ELEMENTARY,ORANGE,CHICKASAW ELEMENTARY SCHOOL,ORANGE
CHIEFLAND ELEMENTARY SCHOOL,LEVY,CHIEFLAND ELEMENTARY SCHOOL,LEVY
CHIEFLAND MIDDLE HIGH SCHOOL,LEVY,CHIEFLAND MIDDLE HIGH SCHOOL,LEVY
CHILD ACADEMY,UNKNOWN,,
CHILD DEVELOPMENT CENTER,UNKNOWN,,
CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL,BROWARD,CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL,BROWARD
CHILDREN OF WOODBINE PRESCHOOL,UNKNOWN,CHILDREN OF WOODBINE PRESCHOOL,SANTA ROSA
CHILDREN PARADISE,UNKNOWN,CHILDREN PARADISE,MIAMI-DADE
CHILDREN'S HOUSE MONTESSORI,PALM BEACH,CHILDREN'S HOUSE MONTESSORI,PALM BEACH
CHILDREN'S MONTESSORI ACADEMY,BREVARD,CHILDREN'S MONTESSORI ACADEMY,BREVARD
CHILDREN'S MONTESSORI ACADEMY,UNKNOWN,CHILDREN'S MONTESSORI ACADEMY,BREVARD
